index,answer,rand,rand_s,ent,ent_s,pos,pos_s
4866,groat,4,1,4,1,4,1
4867,gobio,4,1,3,1,3,1
4868,reoil,3,1,3,1,3,1
4869,fitly,3,1,4,1,4,1
4870,louts,4,1,3,1,3,1
4871,irena,4,1,4,1,4,1
4872,pipil,4,1,4,1,4,1
4873,tunny,4,1,4,1,4,1
4874,shako,4,1,3,1,4,1
4875,sudic,4,1,3,1,3,1
4876,qursh,5,1,4,1,4,1
4877,buddy,5,1,5,1,4,1
4878,onmun,5,1,5,1,5,1
4879,quean,4,1,4,1,4,1
4880,rokey,5,1,5,1,5,1
4881,glare,5,1,4,1,4,1
4882,vizir,4,1,3,1,3,1
4883,wolve,5,1,5,1,5,1
4884,cokie,5,1,4,1,4,1
4885,uveas,3,1,4,1,4,1
4886,rolfe,3,1,3,1,3,1
4887,zakat,4,1,4,1,5,1
4888,melch,5,1,4,1,4,1
4889,hindu,5,1,4,1,5,1
4890,moola,5,1,4,1,4,1
4891,slipt,4,1,4,1,4,1
4892,malts,4,1,4,1,4,1
4893,tutly,3,1,3,1,3,1
4894,walth,6,1,6,1,6,1
4895,artsy,5,1,4,1,4,1
4896,tapis,3,1,4,1,4,1
4897,shoop,5,1,3,1,3,1
4898,jesse,6,1,5,1,5,1
4899,puggi,5,1,4,1,4,1
4900,semee,4,1,4,1,4,1
4901,krepi,4,1,4,1,4,1
4902,troco,3,1,3,1,3,1
4903,cobol,4,1,6,1,6,1
4904,quark,4,1,5,1,6,1
4905,waker,5,1,4,1,4,1
4906,perun,3,1,4,1,4,1
4907,doser,3,1,5,1,5,1
4908,cerer,4,1,4,1,4,1
4909,coops,5,1,3,1,3,1
4910,kapai,5,1,4,1,4,1
4911,girse,3,1,4,1,4,1
4912,plier,5,1,4,1,4,1
4913,tayra,4,1,4,1,4,1
4914,hodad,6,1,5,1,4,1
4915,behav,4,1,4,1,4,1
4916,holer,6,1,5,1,5,1
4917,rugby,5,1,5,1,5,1
4918,poral,7,0,4,1,5,1
4919,scaup,4,1,3,1,3,1
4920,stall,4,1,4,1,4,1
4921,diwan,4,1,3,1,3,1
4922,exist,5,1,5,1,5,1
4923,brier,5,1,5,1,5,1
4924,faker,4,1,6,1,6,1
4925,bhava,5,1,4,1,5,1
4926,gazoz,3,1,5,1,5,1
4927,hydra,4,1,4,1,5,1
4928,manul,4,1,4,1,4,1
4929,windy,8,0,5,1,5,1
4930,mambu,5,1,4,1,4,1
4931,isled,3,1,4,1,4,1
4932,wrive,5,1,6,1,6,1
4933,atrip,4,1,3,1,4,1
4934,hadji,5,1,4,1,4,1
4935,sally,4,1,5,1,5,1
4936,raise,3,1,3,1,3,1
4937,hoofs,5,1,6,1,6,1
4938,brest,3,1,7,0,7,0
4939,hertz,3,1,4,1,4,1
4940,karos,6,1,5,1,5,1
4941,araba,5,1,6,1,3,1
4942,burry,8,0,8,0,8,0
4943,ahint,4,1,4,1,4,1
4944,gourd,4,1,4,1,4,1
4945,fills,13,0,14,0,14,0
4946,seige,7,0,6,1,5,1
4947,uncle,3,1,3,1,3,1
4948,hayne,4,1,5,1,5,1
4949,kulak,4,1,4,1,4,1
4950,abear,5,1,5,1,5,1
4951,euler,5,1,5,1,5,1
4952,accus,4,1,4,1,4,1
4953,beche,4,1,4,1,4,1
4954,awiwi,4,1,4,1,4,1
4955,armil,5,1,4,1,4,1
4956,inapt,3,1,4,1,4,1
4957,stich,4,1,4,1,4,1
4958,giust,4,1,4,1,4,1
4959,banak,6,1,5,1,5,1
4960,queer,7,0,6,1,5,1
4961,durry,5,1,7,0,7,0
4962,atoms,4,1,4,1,4,1
4963,umiac,4,1,4,1,4,1
4964,gotta,5,1,3,1,3,1
4965,iiasa,5,1,5,1,4,1
4966,tilak,3,1,4,1,4,1
4967,arake,4,1,6,1,4,1
4968,raker,7,0,4,1,4,1
4969,cutes,3,1,3,1,3,1
4970,amate,5,1,5,1,4,1
4971,notan,4,1,3,1,3,1
4972,freck,5,1,5,1,5,1
4973,conks,3,1,5,1,5,1
4974,omina,4,1,3,1,3,1
4975,yanky,6,1,5,1,5,1
4976,yente,4,1,4,1,4,1
4977,shope,4,1,3,1,3,1
4978,weber,6,1,5,1,5,1
4979,stero,3,1,4,1,4,1
4980,norma,4,1,4,1,4,1
4981,bemas,4,1,4,1,4,1
4982,tared,3,1,4,1,4,1
4983,nerdy,5,1,5,1,5,1
4984,masty,4,1,7,0,7,0
4985,bajri,5,1,5,1,5,1
4986,loach,3,1,4,1,4,1
4987,gassy,7,0,5,1,5,1
4988,teeny,4,1,4,1,4,1
4989,knops,5,1,4,1,4,1
4990,glenn,3,1,3,1,3,1
4991,bewry,4,1,5,1,4,1
4992,erica,3,1,3,1,3,1
4993,bhaga,6,1,5,1,5,1
4994,liber,7,0,8,0,8,0
4995,gross,3,1,5,1,5,1
4996,kurta,4,1,4,1,4,1
4997,aptly,4,1,4,1,4,1
4998,uncos,3,1,3,1,3,1
4999,alody,5,1,4,1,4,1
5000,kefir,4,1,4,1,4,1
5001,rimer,5,1,5,1,5,1
5002,bedub,5,1,4,1,4,1
5003,slape,7,0,4,1,4,1
5004,bogle,6,1,3,1,3,1
5005,taily,3,1,4,1,4,1
5006,uppop,4,1,4,1,4,1
5007,debye,5,1,4,1,3,1
5008,wiles,7,0,3,1,3,1
5009,sheld,6,1,5,1,5,1
5010,bonce,4,1,5,1,5,1
5011,chapt,4,1,3,1,3,1
5012,oasts,4,1,4,1,4,1
5013,plonk,5,1,4,1,4,1
5014,offer,5,1,5,1,5,1
5015,zibet,4,1,4,1,4,1
5016,lunts,3,1,3,1,3,1
5017,fatal,4,1,4,1,4,1
5018,fluke,6,1,5,1,5,1
5019,avera,4,1,5,1,4,1
5020,levee,5,1,4,1,4,1
5021,sagan,5,1,6,1,6,1
5022,endue,4,1,4,1,4,1
5023,muons,4,1,5,1,5,1
5024,lands,3,1,3,1,3,1
5025,hiker,6,1,6,1,6,1
5026,payni,5,1,4,1,4,1
5027,schul,4,1,4,1,4,1
5028,lamps,5,1,4,1,4,1
5029,oared,3,1,3,1,3,1
5030,unram,4,1,4,1,4,1
5031,sings,4,1,4,1,4,1
5032,sermo,5,1,4,1,4,1
5033,kansa,4,1,4,1,4,1
5034,legit,3,1,3,1,3,1
5035,yurok,6,1,3,1,4,1
5036,terra,3,1,3,1,3,1
5037,grunt,5,1,4,1,4,1
5038,llano,4,1,4,1,4,1
5039,wende,4,1,4,1,4,1
5040,biffs,3,1,5,1,5,1
5041,tween,4,1,4,1,4,1
5042,toile,3,1,3,1,3,1
5043,jutka,4,1,4,1,4,1
5044,patas,5,1,5,1,5,1
5045,coypu,4,1,4,1,4,1
5046,verve,5,1,5,1,5,1
5047,scald,7,0,9,0,10,0
5048,stoae,3,1,3,1,3,1
5049,laked,9,0,5,1,5,1
5050,bruet,4,1,4,1,4,1
5051,ideta,5,1,4,1,4,1
5052,daric,4,1,3,1,3,1
5053,spiks,4,1,6,1,6,1
5054,choes,3,1,3,1,3,1
5055,elope,5,1,5,1,5,1
5056,aclys,3,1,3,1,3,1
5057,gills,11,0,13,0,13,0
5058,guest,7,0,5,1,5,1
5059,sughs,6,1,4,1,4,1
5060,wasel,3,1,3,1,3,1
5061,deynt,4,1,4,1,4,1
5062,carot,3,1,3,1,3,1
5063,maria,5,1,4,1,4,1
5064,augen,3,1,4,1,4,1
5065,howso,5,1,5,1,5,1
5066,coder,8,0,10,0,10,0
5067,tubba,4,1,4,1,4,1
5068,steep,6,1,4,1,4,1
5069,zante,4,1,3,1,3,1
5070,klans,7,0,5,1,5,1
5071,johan,4,1,4,1,4,1
5072,aruac,5,1,4,1,4,1
5073,tings,4,1,5,1,5,1
5074,polka,5,1,4,1,4,1
5075,gabby,5,1,6,1,6,1
5076,cafes,6,1,9,0,9,0
5077,peepy,4,1,6,1,5,1
5078,frack,6,1,5,1,6,1
5079,voted,3,1,4,1,4,1
5080,smirk,5,1,4,1,4,1
5081,thirl,4,1,4,1,5,1
5082,weeps,7,0,5,1,5,1
5083,picra,5,1,3,1,3,1
5084,fails,3,1,11,0,11,0
5085,fanos,5,1,6,1,6,1
5086,torso,4,1,3,1,3,1
5087,ryder,4,1,5,1,4,1
5088,assay,4,1,5,1,4,1
5089,pewit,5,1,4,1,4,1
5090,coved,6,1,8,0,8,0
5091,gatch,9,0,7,0,7,0
5092,kophs,5,1,6,1,6,1
5093,rowel,4,1,3,1,3,1
5094,warth,5,1,4,1,4,1
5095,genty,4,1,4,1,4,1
5096,galea,4,1,6,1,6,1
5097,coude,5,1,5,1,5,1
5098,latin,3,1,3,1,3,1
5099,mckay,4,1,4,1,4,1
5100,which,4,1,5,1,4,1
5101,namda,4,1,5,1,5,1
5102,heels,7,0,6,1,6,1
5103,agiel,3,1,3,1,3,1
5104,olden,3,1,3,1,3,1
5105,nervy,4,1,4,1,4,1
5106,aspen,4,1,3,1,3,1
5107,sepic,4,1,3,1,3,1
5108,admen,4,1,4,1,4,1
5109,kicky,8,0,7,0,7,0
5110,shirl,5,1,5,1,5,1
5111,darts,8,0,9,0,9,0
5112,araru,5,1,4,1,4,1
5113,somet,4,1,3,1,3,1
5114,emits,3,1,4,1,4,1
5115,ramie,3,1,3,1,3,1
5116,preys,6,1,4,1,4,1
5117,ottar,4,1,4,1,4,1
5118,micra,5,1,4,1,4,1
5119,mordv,6,1,4,1,4,1
5120,tense,3,1,3,1,3,1
5121,ancle,3,1,4,1,4,1
5122,bhalu,5,1,5,1,5,1
5123,naris,3,1,3,1,3,1
5124,comox,4,1,5,1,5,1
5125,rooms,3,1,3,1,3,1
5126,barit,3,1,3,1,3,1
5127,whist,4,1,4,1,4,1
5128,swoon,4,1,4,1,3,1
5129,locks,3,1,5,1,5,1
5130,lydia,4,1,4,1,4,1
5131,cered,3,1,4,1,4,1
5132,kytes,3,1,5,1,5,1
5133,daeva,4,1,4,1,4,1
5134,bingo,5,1,7,0,7,0
5135,gibes,7,0,6,1,6,1
5136,sarna,3,1,3,1,3,1
5137,askar,4,1,4,1,4,1
5138,boart,4,1,4,1,4,1
5139,unget,7,0,4,1,4,1
5140,offed,4,1,4,1,4,1
5141,abamp,4,1,5,1,4,1
5142,onker,4,1,4,1,4,1
5143,smalm,4,1,4,1,4,1
5144,ceras,3,1,3,1,3,1
5145,amini,4,1,4,1,6,1
5146,yesty,5,1,5,1,5,1
5147,halwe,3,1,4,1,4,1
5148,tanha,3,1,5,1,5,1
5149,dumps,9,0,9,0,9,0
5150,genet,3,1,3,1,3,1
5151,poria,3,1,3,1,3,1
5152,caves,8,0,3,1,3,1
5153,corby,5,1,5,1,5,1
5154,dubby,4,1,4,1,4,1
5155,fusht,4,1,5,1,5,1
5156,bilin,3,1,4,1,4,1
5157,cubla,4,1,4,1,4,1
5158,swamy,5,1,4,1,4,1
5159,kebar,6,1,5,1,5,1
5160,croze,5,1,3,1,4,1
5161,slept,4,1,4,1,4,1
5162,dione,4,1,5,1,4,1
5163,jumps,6,1,7,0,7,0
5164,minge,4,1,5,1,5,1
5165,genoa,4,1,5,1,5,1
5166,saidi,4,1,5,1,4,1
5167,klosh,5,1,4,1,4,1
5168,cacur,3,1,4,1,4,1
5169,thatn,4,1,4,1,4,1
5170,ratio,3,1,3,1,3,1
5171,secus,4,1,5,1,5,1
5172,gilse,4,1,4,1,4,1
5173,aceta,4,1,5,1,3,1
5174,sides,5,1,8,0,8,0
5175,skier,4,1,4,1,4,1
5176,shiah,4,1,5,1,4,1
5177,tread,4,1,5,1,5,1
5178,jibbs,5,1,5,1,5,1
5179,hermo,5,1,4,1,4,1
5180,sotik,3,1,3,1,3,1
5181,ruggy,5,1,4,1,4,1
5182,qubba,4,1,4,1,5,1
5183,nixer,4,1,4,1,4,1
5184,bhang,6,1,5,1,5,1
5185,robed,7,0,8,0,8,0
5186,winna,5,1,4,1,4,1
5187,vedro,5,1,4,1,4,1
5188,showy,5,1,5,1,5,1
5189,morat,4,1,4,1,4,1
5190,serac,4,1,3,1,3,1
5191,albee,5,1,5,1,5,1
5192,situs,4,1,4,1,4,1
5193,lochy,4,1,4,1,4,1
5194,wrack,5,1,4,1,5,1
5195,maius,3,1,4,1,4,1
5196,quata,3,1,4,1,5,1
5197,bombs,3,1,5,1,5,1
5198,mandi,5,1,3,1,4,1
5199,lated,5,1,5,1,5,1
5200,mitts,5,1,4,1,4,1
5201,getid,5,1,4,1,4,1
5202,sofia,3,1,4,1,4,1
5203,cheep,4,1,4,1,4,1
5204,sower,7,0,4,1,4,1
5205,doina,4,1,4,1,4,1
5206,aumil,5,1,5,1,5,1
5207,cruel,3,1,3,1,3,1
5208,sense,5,1,3,1,3,1
5209,datos,5,1,4,1,4,1
5210,agast,4,1,5,1,5,1
5211,mojos,7,0,5,1,5,1
5212,triac,4,1,4,1,4,1
5213,cital,3,1,3,1,3,1
5214,objet,4,1,4,1,4,1
5215,pampa,6,1,5,1,5,1
5216,dogey,4,1,5,1,5,1
5217,darer,4,1,3,1,3,1
5218,orlon,3,1,3,1,3,1
5219,shiai,5,1,4,1,3,1
5220,henny,8,0,8,0,8,0
5221,bauge,4,1,3,1,3,1
5222,troft,7,0,5,1,5,1
5223,patch,3,1,3,1,3,1
5224,heygh,5,1,5,1,5,1
5225,vales,5,1,4,1,4,1
5226,treat,4,1,4,1,4,1
5227,abody,4,1,5,1,5,1
5228,cissy,3,1,4,1,3,1
5229,chera,4,1,4,1,4,1
5230,tecla,3,1,3,1,3,1
5231,pales,6,1,6,1,6,1
5232,breed,8,0,6,1,7,0
5233,spail,3,1,4,1,4,1
5234,baboo,6,1,6,1,5,1
5235,folds,6,1,3,1,3,1
5236,brisk,6,1,6,1,6,1
5237,findy,7,0,6,1,6,1
5238,hiren,3,1,3,1,3,1
5239,gazed,7,0,5,1,5,1
5240,domba,5,1,4,1,4,1
5241,abner,4,1,4,1,4,1
5242,heals,11,0,9,0,9,0
5243,shist,6,1,4,1,4,1
5244,lamas,4,1,6,1,6,1
5245,rigol,3,1,3,1,3,1
5246,pomme,5,1,5,1,5,1
5247,claim,4,1,3,1,3,1
5248,lobed,7,0,8,0,8,0
5249,toits,3,1,3,1,3,1
5250,colas,3,1,3,1,3,1
5251,bombe,7,0,5,1,5,1
5252,tolls,3,1,4,1,4,1
5253,idant,5,1,4,1,4,1
5254,golly,12,0,11,0,11,0
5255,cresc,4,1,4,1,4,1
5256,withe,6,1,4,1,4,1
5257,naive,4,1,4,1,4,1
5258,zincs,3,1,3,1,3,1
5259,rewan,7,0,4,1,4,1
5260,bimah,5,1,4,1,4,1
5261,skite,7,0,7,0,7,0
5262,wharl,5,1,4,1,4,1
5263,acoin,3,1,3,1,3,1
5264,sures,5,1,4,1,4,1
5265,gelts,9,0,7,0,7,0
5266,trixy,3,1,4,1,4,1
5267,weave,5,1,5,1,5,1
5268,banig,6,1,5,1,5,1
5269,rears,7,0,4,1,4,1
5270,spiro,4,1,4,1,4,1
5271,cyclo,4,1,4,1,4,1
5272,shoon,5,1,5,1,5,1
5273,rural,7,0,4,1,5,1
5274,bando,4,1,5,1,5,1
5275,upped,5,1,5,1,5,1
5276,gonif,3,1,3,1,3,1
5277,cowls,4,1,3,1,3,1
5278,peats,6,1,5,1,5,1
5279,gyppo,5,1,4,1,4,1
5280,aroon,3,1,4,1,4,1
5281,blout,5,1,6,1,6,1
5282,paste,6,1,4,1,4,1
5283,torte,3,1,4,1,4,1
5284,libri,4,1,4,1,4,1
5285,dados,5,1,5,1,5,1
5286,rabal,4,1,3,1,3,1
5287,liney,4,1,3,1,3,1
5288,miche,3,1,4,1,4,1
5289,antis,3,1,3,1,3,1
5290,polly,8,0,5,1,5,1
5291,pharo,5,1,4,1,5,1
5292,miauw,4,1,4,1,4,1
5293,smerk,5,1,5,1,5,1
5294,kabel,7,0,5,1,5,1
5295,laund,5,1,5,1,5,1
5296,slick,3,1,3,1,3,1
5297,raids,4,1,4,1,4,1
5298,singe,4,1,4,1,4,1
5299,blown,3,1,4,1,4,1
5300,tubik,4,1,4,1,4,1
5301,ninon,5,1,4,1,4,1
5302,medii,5,1,4,1,4,1
5303,slake,6,1,5,1,5,1
5304,meant,4,1,3,1,3,1
5305,knows,5,1,4,1,4,1
5306,roues,5,1,4,1,4,1
5307,taich,3,1,3,1,3,1
5308,dines,5,1,4,1,4,1
5309,chufa,4,1,4,1,4,1
5310,tarts,4,1,3,1,3,1
5311,slobs,6,1,4,1,4,1
5312,ephor,5,1,5,1,5,1
5313,delph,6,1,4,1,4,1
5314,buffy,9,0,6,1,6,1
5315,lansa,4,1,4,1,4,1
5316,haori,4,1,4,1,4,1
5317,chave,6,1,4,1,4,1
5318,gyrus,6,1,6,1,6,1
5319,gadis,4,1,7,0,7,0
5320,abaue,3,1,6,1,6,1
5321,ficin,4,1,4,1,4,1
5322,wasat,4,1,4,1,4,1
5323,wring,6,1,4,1,4,1
5324,gimel,4,1,4,1,4,1
5325,datil,3,1,4,1,4,1
5326,piano,4,1,4,1,4,1
5327,beams,5,1,5,1,5,1
5328,otomi,5,1,5,1,4,1
5329,ochre,3,1,4,1,4,1
5330,galop,6,1,5,1,5,1
5331,three,4,1,3,1,3,1
5332,kaimo,4,1,3,1,3,1
5333,sault,4,1,3,1,3,1
5334,ethic,4,1,4,1,4,1
5335,lural,5,1,6,1,4,1
5336,pivot,5,1,4,1,6,1
5337,codol,6,1,5,1,5,1
5338,choco,6,1,4,1,4,1
5339,galli,5,1,4,1,4,1
5340,bluer,5,1,5,1,5,1
5341,horae,4,1,4,1,4,1
5342,alert,3,1,4,1,4,1
5343,bebed,7,0,6,1,6,1
5344,aster,3,1,3,1,3,1
5345,sifac,3,1,4,1,4,1
5346,beads,7,0,6,1,6,1
5347,unset,3,1,3,1,3,1
5348,rumex,5,1,4,1,5,1
5349,reddy,5,1,5,1,5,1
5350,draff,6,1,6,1,6,1
5351,plays,4,1,5,1,5,1
5352,flaps,6,1,6,1,6,1
5353,servo,4,1,4,1,4,1
5354,guara,5,1,5,1,5,1
5355,gecks,8,0,6,1,6,1
5356,toked,5,1,7,0,7,0
5357,loral,7,0,6,1,3,1
5358,modus,5,1,5,1,5,1
5359,genos,3,1,6,1,6,1
5360,belam,7,0,5,1,5,1
5361,ceils,3,1,3,1,3,1
5362,leaps,6,1,4,1,4,1
5363,belly,8,0,4,1,10,0
5364,chape,5,1,4,1,4,1
5365,cooth,3,1,3,1,3,1
5366,wauve,7,0,4,1,4,1
5367,funli,6,1,4,1,4,1
5368,yeses,6,1,5,1,5,1
5369,alfet,5,1,4,1,4,1
5370,exdie,4,1,3,1,3,1
5371,cruce,5,1,5,1,5,1
5372,grosz,5,1,5,1,5,1
5373,legoa,4,1,4,1,4,1
5374,troue,4,1,5,1,5,1
5375,swath,5,1,5,1,5,1
5376,astir,3,1,4,1,4,1
5377,clift,4,1,4,1,4,1
5378,hicks,5,1,8,0,8,0
5379,doggy,5,1,5,1,5,1
5380,apnea,6,1,4,1,4,1
5381,mashy,5,1,4,1,4,1
5382,arete,4,1,5,1,4,1
5383,leafs,7,0,5,1,5,1
5384,canny,6,1,4,1,3,1
5385,cress,3,1,4,1,4,1
5386,banba,5,1,6,1,6,1
5387,satan,3,1,3,1,3,1
5388,trapa,4,1,4,1,3,1
5389,extol,3,1,4,1,4,1
5390,cajan,4,1,4,1,4,1
5391,saves,9,0,5,1,5,1
5392,nandu,6,1,4,1,4,1
5393,singh,4,1,4,1,4,1
5394,scelp,4,1,4,1,4,1
5395,bises,6,1,7,0,7,0
5396,elric,3,1,3,1,3,1
5397,whaly,6,1,4,1,4,1
5398,suety,3,1,4,1,5,1
5399,giant,6,1,4,1,4,1
5400,gilet,4,1,3,1,3,1
5401,atwin,3,1,3,1,3,1
5402,silen,3,1,3,1,3,1
5403,mauts,6,1,4,1,5,1
5404,grata,4,1,4,1,4,1
5405,virge,5,1,4,1,4,1
5406,moxas,4,1,4,1,4,1
5407,dunks,7,0,5,1,5,1
5408,evese,4,1,4,1,4,1
5409,oxboy,4,1,4,1,4,1
5410,impis,4,1,3,1,3,1
5411,currs,6,1,3,1,3,1
5412,gazer,6,1,4,1,4,1
5413,ochna,3,1,3,1,3,1
5414,lysin,3,1,3,1,3,1
5415,matts,5,1,4,1,4,1
5416,eques,7,0,5,1,5,1
5417,salvy,5,1,4,1,4,1
5418,behen,6,1,4,1,4,1
5419,sains,7,0,5,1,5,1
5420,emlen,3,1,3,1,3,1
5421,frits,4,1,5,1,5,1
5422,murva,6,1,5,1,5,1
5423,achar,4,1,4,1,4,1
5424,janty,4,1,3,1,7,0
5425,sward,6,1,4,1,4,1
5426,carks,6,1,6,1,6,1
5427,fleur,4,1,5,1,5,1
5428,zombi,4,1,4,1,4,1
5429,beata,5,1,5,1,3,1
5430,skews,5,1,5,1,5,1
5431,ilima,4,1,4,1,4,1
5432,lysis,3,1,3,1,3,1
5433,odell,5,1,6,1,4,1
5434,sukey,4,1,4,1,4,1
5435,vajra,5,1,5,1,5,1
5436,fulup,4,1,4,1,4,1
5437,cakes,8,0,7,0,7,0
5438,malus,6,1,4,1,4,1
5439,dully,8,0,6,1,6,1
5440,howfs,6,1,5,1,5,1
5441,leven,4,1,3,1,3,1
5442,riser,4,1,5,1,4,1
5443,josey,7,0,5,1,5,1
5444,pleas,5,1,4,1,4,1
5445,brose,5,1,5,1,5,1
5446,tumps,4,1,5,1,5,1
5447,pardi,5,1,4,1,4,1
5448,drent,4,1,5,1,5,1
5449,yoghs,5,1,5,1,5,1
5450,riots,3,1,3,1,3,1
5451,clach,4,1,4,1,4,1
5452,aubin,5,1,5,1,5,1
5453,slogs,4,1,4,1,4,1
5454,milan,3,1,3,1,3,1
5455,hakka,5,1,4,1,4,1
5456,octal,3,1,3,1,3,1
5457,larve,4,1,4,1,4,1
5458,frayn,5,1,4,1,4,1
5459,rhema,5,1,5,1,4,1
5460,hasan,4,1,5,1,5,1
5461,forex,6,1,6,1,6,1
5462,muddy,6,1,4,1,4,1
5463,briny,5,1,4,1,5,1
5464,sowse,4,1,4,1,4,1
5465,atees,3,1,3,1,3,1
5466,ferio,3,1,4,1,4,1
5467,aetat,5,1,5,1,4,1
5468,yojan,6,1,5,1,5,1
5469,audit,4,1,4,1,4,1
5470,aluta,5,1,4,1,5,1
5471,ankee,4,1,4,1,4,1
5472,sotho,4,1,4,1,4,1
5473,cycad,4,1,4,1,4,1
5474,crowl,5,1,4,1,5,1
5475,vertu,4,1,4,1,4,1
5476,coran,3,1,3,1,3,1
5477,apply,4,1,4,1,4,1
5478,puree,3,1,5,1,5,1
5479,axers,7,0,4,1,4,1
5480,leche,5,1,4,1,4,1
5481,seker,5,1,5,1,5,1
5482,regma,6,1,5,1,5,1
5483,qaids,4,1,5,1,5,1
5484,soler,3,1,3,1,3,1
5485,plage,7,0,5,1,5,1
5486,darya,4,1,7,0,7,0
5487,buggy,5,1,5,1,5,1
5488,pheal,4,1,5,1,6,1
5489,weent,5,1,4,1,4,1
5490,gulix,5,1,5,1,5,1
5491,tandy,6,1,6,1,6,1
5492,annie,4,1,4,1,4,1
5493,scaly,10,0,5,1,6,1
5494,rushy,4,1,4,1,4,1
5495,imber,4,1,5,1,5,1
5496,umbos,4,1,4,1,4,1
5497,epopt,5,1,5,1,5,1
5498,annam,4,1,5,1,3,1
5499,sawed,3,1,4,1,4,1
5500,pipes,10,0,8,0,8,0
5501,diana,4,1,5,1,3,1
5502,oracy,3,1,3,1,3,1
5503,ferly,4,1,4,1,4,1
5504,dheri,5,1,5,1,5,1
5505,nondo,5,1,5,1,3,1
5506,snivy,7,0,4,1,4,1
5507,ocker,4,1,3,1,3,1
5508,kiefs,4,1,3,1,3,1
5509,humus,3,1,6,1,6,1
5510,celeb,3,1,4,1,4,1
5511,tonka,3,1,4,1,4,1
5512,pasta,5,1,4,1,4,1
5513,blaze,4,1,5,1,4,1
5514,stong,4,1,5,1,6,1
5515,demot,5,1,3,1,3,1
5516,jenny,6,1,5,1,5,1
5517,fujis,5,1,5,1,5,1
5518,lumen,5,1,5,1,5,1
5519,capax,5,1,4,1,4,1
5520,thiol,4,1,4,1,4,1
5521,dalan,5,1,5,1,5,1
5522,faces,6,1,5,1,5,1
5523,haets,4,1,3,1,3,1
5524,blimp,5,1,5,1,5,1
5525,simba,4,1,4,1,4,1
5526,unwet,7,0,4,1,4,1
5527,copps,4,1,5,1,5,1
5528,cacam,3,1,5,1,5,1
5529,sloan,3,1,3,1,3,1
5530,larva,5,1,4,1,4,1
5531,cadge,4,1,6,1,6,1
5532,cares,3,1,3,1,3,1
5533,vicua,4,1,4,1,4,1
5534,perai,3,1,3,1,3,1
5535,howes,8,0,8,0,8,0
5536,photo,3,1,4,1,4,1
5537,helio,3,1,4,1,4,1
5538,opata,5,1,4,1,4,1
5539,speck,4,1,3,1,4,1
5540,minie,4,1,3,1,3,1
5541,sards,4,1,6,1,6,1
5542,khaja,5,1,4,1,5,1
5543,salta,3,1,4,1,4,1
5544,lautu,4,1,4,1,4,1
5545,tusky,4,1,3,1,3,1
5546,epulo,4,1,5,1,4,1
5547,farms,8,0,7,0,7,0
5548,dells,9,0,3,1,3,1
5549,fourb,4,1,5,1,5,1
5550,imban,5,1,5,1,6,1
5551,tehee,5,1,5,1,5,1
5552,teddy,3,1,4,1,4,1
5553,binit,4,1,4,1,4,1
5554,deity,4,1,5,1,5,1
5555,sulfo,3,1,3,1,3,1
5556,keats,8,0,7,0,7,0
5557,frags,7,0,4,1,4,1
5558,rails,3,1,3,1,3,1
5559,clots,3,1,3,1,3,1
5560,scows,4,1,3,1,3,1
5561,navig,4,1,4,1,4,1
5562,baiza,5,1,4,1,4,1
5563,sfree,4,1,5,1,5,1
5564,boldu,5,1,4,1,4,1
5565,plass,4,1,4,1,4,1
5566,ulnar,4,1,4,1,4,1
5567,jeany,4,1,5,1,5,1
5568,gules,4,1,7,0,7,0
5569,vigil,4,1,4,1,4,1
5570,limmu,4,1,4,1,5,1
5571,lysed,4,1,4,1,4,1
5572,enrut,3,1,4,1,4,1
5573,xylic,4,1,3,1,3,1
5574,purau,4,1,5,1,5,1
5575,hanna,7,0,6,1,6,1
5576,vodum,5,1,5,1,5,1
5577,galax,3,1,5,1,5,1
5578,slock,4,1,4,1,4,1
5579,diode,4,1,4,1,4,1
5580,tokyo,4,1,4,1,4,1
5581,parah,5,1,4,1,4,1
5582,sprug,5,1,3,1,3,1
5583,jiboa,4,1,5,1,5,1
5584,pense,3,1,4,1,4,1
5585,arest,5,1,4,1,4,1
5586,floyd,6,1,5,1,5,1
5587,tarry,3,1,4,1,4,1
5588,nudzh,5,1,5,1,5,1
5589,unled,3,1,3,1,3,1
5590,jundy,4,1,4,1,5,1
5591,rotge,4,1,4,1,4,1
5592,bawls,6,1,6,1,6,1
5593,upwax,5,1,5,1,5,1
5594,model,4,1,5,1,5,1
5595,piton,4,1,3,1,3,1
5596,vichy,5,1,3,1,3,1
5597,henna,5,1,6,1,6,1
5598,noter,3,1,3,1,3,1
5599,godly,5,1,4,1,4,1
5600,dazes,8,0,5,1,5,1
5601,dosis,6,1,6,1,6,1
5602,hurst,3,1,5,1,5,1
5603,sergt,3,1,4,1,4,1
5604,cocoa,5,1,3,1,3,1
5605,roman,4,1,4,1,4,1
5606,baddy,5,1,5,1,5,1
5607,chest,3,1,4,1,4,1
5608,clung,3,1,4,1,4,1
5609,incan,3,1,3,1,3,1
5610,engle,5,1,5,1,5,1
5611,poops,7,0,5,1,5,1
5612,reefy,6,1,5,1,5,1
5613,baths,6,1,5,1,6,1
5614,vitra,4,1,3,1,4,1
5615,corey,3,1,3,1,3,1
5616,zanze,5,1,5,1,5,1
5617,oiler,3,1,3,1,3,1
5618,kugel,5,1,4,1,4,1
5619,fenks,4,1,5,1,5,1
